dementia_center_id,state,district,address_details,latitude,longitude
224,서울특별시,영등포구,당산로 29길 9,35.9646059,126.6897785
225,서울특별시,영등포구,당산로 29길 9,36.80718993,127.1514636
226,서울특별시,영등포구,당산로 29길 9,36.367296,127.430828
227,서울특별시,영등포구,당산로 29길 9,35.99070797,128.4186406
228,서울특별시,영등포구,당산로 29길 9,36.80799723,127.7966873
229,서울특별시,영등포구,당산로 29길 9,36.19653553,127.1047397
230,서울특별시,영등포구,당산로 29길 9,36.77457668,126.4445156
231,서울특별시,영등포구,당산로 29길 9,37.47721594,126.6291077
232,서울특별시,영등포구,당산로 29길 9,36.82876293,128.6159883
233,서울특별시,영등포구,당산로 29길 9,37.85346198,127.1593101
234,서울특별시,영등포구,당산로 29길 9,37.95581136,127.315347
235,서울특별시,영등포구,당산로 29길 9,38.08929432,127.2756337
236,서울특별시,영등포구,당산로 29길 9,36.7518786,126.3231987
237,서울특별시,영등포구,당산로 29길 9,36.8873273,126.6304725
238,서울특별시,영등포구,당산로 29길 9,35.65513121,127.5191364
239,서울특별시,영등포구,당산로 29길 9,37.74287093,128.8827493
240,서울특별시,영등포구,당산로 29길 9,37.4357471,126.699593
241,서울특별시,영등포구,당산로 29길 9,37.36884573,127.3027505
242,서울특별시,영등포구,당산로 29길 9,37.536446,126.736242
243,서울특별시,영등포구,당산로 29길 9,37.532527,126.70861
244,서울특별시,영등포구,당산로 29길 9,37.89661147,127.051717
245,서울특별시,영등포구,당산로 29길 9,37.556963,126.8522421
246,서울특별시,영등포구,당산로 29길 9,34.94435219,128.0811474
247,서울특별시,영등포구,당산로 29길 9,37.68363562,126.772353
248,서울특별시,영등포구,당산로 29길 9,37.52954199,127.1255855
249,서울특별시,영등포구,당산로 29길 9,37.602942,127.039536
250,서울특별시,영등포구,당산로 29길 9,37.53133859,126.831824
251,서울특별시,영등포구,당산로 29길 9,36.48703402,127.7155518
252,서울특별시,영등포구,당산로 29길 9,35.11954591,129.0180242
253,서울특별시,영등포구,당산로 29길 9,36.99621755,129.4045994
254,서울특별시,영등포구,당산로 29길 9,35.6809363,127.8987274
255,서울특별시,영등포구,당산로 29길 9,38.07784528,128.6274871
256,서울특별시,영등포구,당산로 29길 9,37.176676,128.9924305
257,서울특별시,영등포구,당산로 29길 9,34.97451724,128.3244477
258,서울특별시,영등포구,당산로 29길 9,35.543618,128.490055
259,서울특별시,영등포구,당산로 29길 9,35.88016031,128.5723999
260,서울특별시,영등포구,당산로 29길 9,35.505086,129.41643
261,서울특별시,영등포구,당산로 29길 9,37.065701,127.066497
262,서울특별시,영등포구,당산로 29길 9,35.27886716,127.2969046
263,서울특별시,영등포구,당산로 29길 9,37.58751921,127.0427044
264,서울특별시,영등포구,당산로 29길 9,36.32557502,127.4212953
265,서울특별시,영등포구,당산로 29길 9,35.14495168,126.9231621
266,서울특별시,영등포구,당산로 29길 9,36.89071878,128.7418543
267,서울특별시,영등포구,당산로 29길 9,35.09633258,129.022058
268,서울특별시,영등포구,당산로 29길 9,37.689933,127.875548
269,서울특별시,영등포구,당산로 29길 9,36.43113169,129.0518042
270,서울특별시,영등포구,당산로 29길 9,36.4893152,127.3028399
271,서울특별시,영등포구,당산로 29길 9,36.60725506,127.3000196
272,서울특별시,영등포구,당산로 29길 9,34.96375005,127.542936
273,서울특별시,영등포구,당산로 29길 9,34.7931322,126.3829337
274,서울특별시,영등포구,당산로 29길 9,34.73915914,127.7260493
275,서울특별시,영등포구,당산로 29길 9,34.96667705,127.4860726
276,서울특별시,영등포구,당산로 29길 9,34.99522645,126.708224
277,서울특별시,영등포구,당산로 29길 9,35.059161,128.9713933
278,서울특별시,영등포구,당산로 29길 9,36.978092,126.922315
279,서울특별시,영등포구,당산로 29길 9,36.625449,127.463825
280,서울특별시,영등포구,당산로 29길 9,36.588251,127.5059388
281,서울특별시,영등포구,당산로 29길 9,36.616052,127.4713305
282,서울특별시,영등포구,당산로 29길 9,36.64147861,127.4315238
283,서울특별시,영등포구,당산로 29길 9,36.71040635,127.4304713
284,서울특별시,영등포구,당산로 29길 9,37.48578411,127.1341622
285,서울특별시,영등포구,당산로 29길 9,36.59602344,128.1978627
286,서울특별시,영등포구,당산로 29길 9,36.78291637,127.0140673
287,서울특별시,영등포구,당산로 29길 9,35.178777,129.0475494
288,서울특별시,영등포구,당산로 29길 9,37.4292013,126.9834908
289,서울특별시,영등포구,당산로 29길 9,37.60477675,127.1450794
290,서울특별시,영등포구,당산로 29길 9,37.35258222,126.9456639
291,서울특별시,영등포구,당산로 29길 9,37.500824,126.7249026
292,서울특별시,영등포구,당산로 29길 9,35.9704125,129.405147
293,서울특별시,영등포구,당산로 29길 9,36.07072182,129.3797119
294,서울특별시,영등포구,당산로 29길 9,37.5676545,127.1858194
295,서울특별시,영등포구,당산로 29길 9,35.84495927,128.6119385
296,서울특별시,영등포구,당산로 29길 9,37.18544643,128.461674
297,서울특별시,영등포구,당산로 29길 9,35.48567011,128.7560608
298,서울특별시,영등포구,당산로 29길 9,34.7664558,127.071271
299,서울특별시,영등포구,당산로 29길 9,36.77424904,127.5867247
300,서울특별시,영등포구,당산로 29길 9,37.0001476,127.2698156
301,서울특별시,영등포구,당산로 29길 9,37.83814235,127.0680351
302,서울특별시,영등포구,당산로 29길 9,37.81249969,126.9723072
303,서울특별시,영등포구,당산로 29길 9,36.68088054,126.8448507
304,서울특별시,영등포구,당산로 29길 9,37.48590672,130.8994626
305,서울특별시,영등포구,당산로 29길 9,36.139463,128.3455203
306,서울특별시,영등포구,당산로 29길 9,36.24417904,128.2999491
307,서울특별시,영등포구,당산로 29길 9,38.06327706,128.1685854
308,서울특별시,영등포구,당산로 29길 9,37.20571617,127.6624173
309,서울특별시,영등포구,당산로 29길 9,35.12832585,129.0450622
310,서울특별시,영등포구,당산로 29길 9,35.16247327,129.1134875
311,서울특별시,영등포구,당산로 29길 9,37.4473902,126.7306784
312,서울특별시,영등포구,당산로 29길 9,35.32519724,129.1793766
